snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_16_05,BASE TABLE,2023-05-16 11:28:56.884000 UTC, 0.00251294825375 , 0.01285425669084 , 19.54954155802940 ,LOGICAL,< 2025-09-03,16/05/2023, $0.03 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_copy,BASE TABLE,2023-05-16 06:38:55.274000 UTC, 0.00251294825375 , 0.01285425669084 , 19.54954155802940 ,LOGICAL,< 2025-09-03,16/05/2023, $0.03 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits_16_05,BASE TABLE,2023-05-16 11:29:43.674000 UTC, 0.00157249155654 , 0.01285425669084 , 12.23323599616910 ,LOGICAL,< 2025-09-03,16/05/2023, $0.02 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits_copy,BASE TABLE,2023-05-16 06:40:30.852000 UTC, 0.00157249155654 , 0.01285425669084 , 12.23323599616910 ,LOGICAL,< 2025-09-03,16/05/2023, $0.02 ,
03/11/2025,bt-adobe-event-ext-test-data,cons_ccn_adobe_events_rw,bt_webvisits,BASE TABLE,2022-01-18 08:35:10.031000 UTC, 0.00156553376837 , 0.00196163826877 , 79.80746467364260 ,LOGICAL,< 2025-09-03,18/01/2022, $0.02 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_appvisits_17_08,BASE TABLE,2023-10-27 04:05:25.253000 UTC, 0.00150771543031 , 0.01285425669084 , 11.72930855956160 ,LOGICAL,< 2025-09-03,27/10/2023, $0.02 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits_17_08,BASE TABLE,2023-08-17 05:58:38.022000 UTC, 0.00086414946782 , 0.01285425669084 , 6.72267163010235 ,LOGICAL,< 2025-09-03,17/08/2023, $0.01 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_stg,ee_webvisits_stg_copy,BASE TABLE,2024-07-02 12:06:48.128000 UTC, 0.00056457669416 , 0.01285425669084 , 4.39213801107558 ,LOGICAL,< 2025-09-03,02/07/2024, $0.01 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_17_08,BASE TABLE,2023-08-17 05:59:30.043000 UTC, 0.00054580950291 , 0.01285425669084 , 4.24613819403984 ,LOGICAL,< 2025-09-03,17/08/2023, $0.01 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_stg,bt_webvisits_stg_copy,BASE TABLE,2024-07-02 12:06:23.649000 UTC, 0.00040792058007 , 0.01285425669084 , 3.17342799264404 ,LOGICAL,< 2025-09-03,02/07/2024, $0.00 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits,BASE TABLE,2024-09-19 04:23:11.173000 UTC, 0.00024774033409 , 0.01285425669084 , 1.92730190509966 ,LOGICAL,< 2025-09-03,19/09/2024, $0.00 ,
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_stg,stg_etst,BASE TABLE,2023-10-20 17:08:20.809000 UTC, 0.00019348525257 , 0.01285425669084 , 1.50522318964024 ,LOGICAL,< 2025-09-03,20/10/2023, $0.00 ,
